,Y2006
Afghanistan,3363000.0
Albania,230900.0
Algeria,2687930.0
Angola,4000.0
Azerbaijan,1460303.0
Argentina,12721976.0
Australia,25150343.0
Austria,1396300.0
Bahrain,0.0
Bangladesh,735000.0
Armenia,146544.0
Barbados,0.0
Belgium,1661958.0
Bhutan,9100.0
Bolivia,143677.0
Bosnia and Herzegovina,232496.0
Botswana,187.21
Brazil,2484848.0
Belize,0.0
Solomon Islands,0.0
Bulgaria,3301882.0
Myanmar,140200.0
Burundi,8007.0
Belarus,1075238.0
Cambodia,0.0
Cameroon,730.11
Canada,25265400.0
Cabo Verde,0.0
Sri Lanka,0.0
Chad,1865.0
Chile,1403689.0
China,108466000.0
Taiwan,271.0
Colombia,26399.0
Congo Republic,0.0
DR Congo,8640.0
Costa Rica,0.0
Croatia,804601.0
Cuba,0.0
Cyprus,7518.0
Czechia,3506252.0
Benin,0.0
Denmark,4801600.0
Dominica,0.0
Dominican Republic,0.0
Ecuador,7577.0
El Salvador,0.0
Equatorial Guinea,0.0
Ethiopia,2219075.0
Eritrea,21570.0
Estonia,219590.0
Faroe Islands,0.0
Fiji,0.0
Finland,684100.0
France,35363563.4
French Polynesia,0.0
Djibouti,0.0
Gabon,0.0
Georgia,69700.0
Gambia,0.0
Palestine,39430.0
Germany,22427900.0
Ghana,0.0
Greece,1778170.0
Grenada,0.0
Guatemala,1587.57
Guinea,0.0
Guyana,0.0
Haiti,0.0
Honduras,1085.46
Hong Kong,0.0
Hungary,4376235.0
Iceland,0.0
India,69354496.0
Indonesia,0.0
Iran,14663745.0
Iraq,2086000.0
Ireland,801000.0
Israel,131200.0
Italy,7181720.0
Cote d'Ivoire,0.0
Jamaica,0.0
Japan,837200.0
Kazakhstan,13460480.0
Jordan,22928.0
Kenya,329193.0
North Korea,199000.0
South Korea,5810.0
Kuwait,510.0
Kyrgyz Republic,840299.0
Laos,0.0
Lebanon,153400.0
Lesotho,6607.0
Latvia,598300.0
Libya,104000.0
Lithuania,809800.0
Luxembourg,75603.0
Macau,0.0
Madagascar,10000.0
Malawi,1999.0
Malaysia,0.0
Maldives,0.0
Mali,8565.0
Malta,10500.0
Mauritania,574.0
Mauritius,0.0
Mexico,3378116.0
Mongolia,127757.0
Moldova,691417.0
Montenegro,2497.0
Morocco,6326760.0
Mozambique,8400.0
Oman,775.0
Namibia,12858.0
Nepal,1394126.0
Netherlands,1184400.0
New Caledonia,0.0
New Zealand,261798.0
Nicaragua,0.0
Niger,7796.0
Nigeria,71000.0
Norway,357000.0
Pakistan,21276900.0
Panama,0.0
Papua New Guinea,0.0
Paraguay,620000.0
Peru,191082.0
Philippines,0.0
Poland,7059671.0
Portugal,249580.0
Guinea-Bissau,0.0
Qatar,20.0
Romania,5526190.0
Russia,44926880.0
Rwanda,19549.0
St. Lucia,0.0
St. Vincent and the Grenadines,0.0
Saudi Arabia,2630394.0
Senegal,0.0
Serbia,1875335.0
Seychelles,0.0
Sierra Leone,0.0
Singapore,0.0
Slovakia,1342693.0
Vietnam,0.0
Slovenia,134449.0
Somalia,960.0
South Africa,2105000.0
Zimbabwe,241924.0
Spain,5521582.0
Sudan,669000.0
Suriname,0.0
Eswatini,334.95
Sweden,1967400.0
Switzerland,543800.0
Syria,4932000.0
Tajikistan,640339.0
Thailand,1000.0
Togo,0.0
Trinidad and Tobago,0.0
United Arab Emirates,26.0
Tunisia,1250600.0
Türkiye,20010000.0
Turkmenistan,3260000.0
Uganda,18000.0
Ukraine,13947300.0
North Macedonia,293326.0
Egypt,8274230.0
United Kingdom,14755222.0
Tanzania,110000.0
United States,49216040.0
Burkina Faso,0.0
Uruguay,454100.0
Uzbekistan,6099300.0
Venezuela,220.0
Yemen,149173.0
Zambia,93958.0
