,Y2007
Afghanistan,4484000.0
Albania,249500.0
Algeria,2318963.0
Angola,4000.0
Azerbaijan,1305458.0
Argentina,14662945.0
Australia,10821628.0
Austria,1399341.0
Bahrain,0.0
Bangladesh,737000.0
Armenia,254233.0
Barbados,0.0
Belgium,1577342.0
Bhutan,8879.0
Bolivia,167095.0
Bosnia and Herzegovina,257112.0
Botswana,72.0
Brazil,4114057.0
Belize,0.0
Solomon Islands,0.0
Bulgaria,2390610.0
Myanmar,155300.0
Burundi,7987.0
Belarus,1396553.0
Cambodia,0.0
Cameroon,752.65
Canada,20090400.0
Cabo Verde,0.0
Sri Lanka,0.0
Chad,8393.0
Chile,1095872.0
China,109298000.0
Taiwan,296.0
Colombia,36778.0
Congo Republic,0.0
DR Congo,8690.0
Cook Islands,0.0
Costa Rica,0.0
Croatia,812347.0
Cuba,0.0
Cyprus,10712.0
Czechia,3938924.0
Benin,0.0
Denmark,4519200.0
Dominica,0.0
Dominican Republic,0.0
Ecuador,9243.0
El Salvador,0.0
Equatorial Guinea,0.0
Ethiopia,2463064.0
Eritrea,27274.0
Estonia,345726.0
Faroe Islands,0.0
Fiji,0.0
Finland,796800.0
France,32763445.9
French Polynesia,0.0
Djibouti,0.0
Gabon,0.0
Georgia,74900.0
Gambia,0.0
Palestine,39799.0
Germany,20828077.0
Ghana,0.0
Greece,1629072.0
Grenada,0.0
Guatemala,1864.26
Guinea,0.0
Guyana,0.0
Haiti,0.0
Honduras,1099.49
Hong Kong,0.0
Hungary,3986708.0
Iceland,0.0
India,75806704.0
Indonesia,0.0
Iran,15886608.5
Iraq,2202800.0
Ireland,713400.0
Israel,158921.0
Italy,7170181.0
Cote d'Ivoire,0.0
Jamaica,0.0
Japan,910100.0
Kazakhstan,16466870.0
Jordan,20997.0
Kenya,322320.0
North Korea,195000.0
South Korea,7351.0
Kuwait,478.0
Kyrgyz Republic,708877.0
Lebanon,116200.0
Lesotho,3956.0
Latvia,807300.0
Liberia,0.0
Libya,104000.0
Lithuania,1390700.0
Luxembourg,70469.0
Macau,0.0
Madagascar,11000.0
Malawi,4605.0
Malaysia,0.0
Mali,8585.0
Malta,12000.0
Mauritania,2000.0
Mauritius,0.0
Mexico,3515392.0
Mongolia,109560.0
Moldova,406484.0
Montenegro,752.0
Morocco,1582630.0
Mozambique,10000.0
Oman,947.0
Namibia,12163.0
Nepal,1515139.0
Netherlands,1018000.0
New Caledonia,0.0
New Zealand,344434.0
Nicaragua,0.0
Niger,7000.0
Nigeria,44000.0
Norway,401100.0
Pakistan,23294600.0
Panama,0.0
Papua New Guinea,0.0
Paraguay,800000.0
Peru,181552.0
Philippines,0.0
Poland,8317265.0
Portugal,102258.0
Qatar,32.0
Romania,3044465.0
Russia,49367973.0
Rwanda,24633.0
St. Lucia,0.0
St. Vincent and the Grenadines,0.0
Saudi Arabia,2558000.0
Senegal,0.0
Serbia,1863811.0
Seychelles,0.0
Sierra Leone,0.0
Singapore,0.0
Slovakia,1379643.0
Vietnam,0.0
Slovenia,133339.0
Somalia,970.0
South Africa,1905000.0
Zimbabwe,149110.0
Spain,6436359.0
Sudan,803000.0
Suriname,0.0
Eswatini,325.0
Sweden,2255700.0
Switzerland,543900.0
Syria,4041100.0
Tajikistan,649300.0
Thailand,1013.61
Togo,0.0
Trinidad and Tobago,0.0
United Arab Emirates,30.0
Tunisia,1442800.0
Türkiye,17234000.0
Turkmenistan,1082770.0
Tuvalu,0.0
Uganda,19000.0
Ukraine,13937700.0
North Macedonia,218100.0
Egypt,7379000.0
United Kingdom,13220620.0
Tanzania,82800.0
United States,55820360.0
Burkina Faso,0.0
Uruguay,611200.0
Uzbekistan,6190300.0
Venezuela,213.0
Yemen,218520.0
Zambia,115843.0
