country,mean_value
South Korea,-0.09982126
Ukraine,-0.24332032
Slovenia,-0.4757658
Uruguay,-0.23938806
Romania,-0.27016646
Italy,-0.47046778
Paraguay,-0.3449566
Argentina,-0.31716663
Bosnia and Herzegovina,-0.31742883
Thailand,-0.15652375
Japan,-0.043614767
Nigeria,-0.0013932579
Serbia,-0.43032175
Croatia,-0.37113985
North Korea,-0.024885168
Russian Federation,-0.18152227
Ecuador,-0.09682867
Benin,0.0
Slovakia,-0.2009895
Bolivia,-0.04438176
China,-0.16270654
Vietnam,-0.1018648
United States,-0.381662
Rwanda,-0.009587429
Brazil,-0.4273134
Zimbabwe,-0.06335761
Indonesia,-0.035777677
Mexico,-0.026399884
Albania,-0.12906206
France,-0.4510687
Austria,-0.46825817
Zambia,-0.26496938
Turkey,-0.23946588
Tanzania,0.0
Moldova,-0.1101239
South Africa,-0.1913079
Uganda,-0.003486683
Colombia,-0.14637558
Iran,-0.3956632
Nepal,-0.1232446
Hungary,-0.4556692
Laos,-0.0062974147
Cambodia,-0.029056469
India,-0.1235055
Canada,-0.3844419
Myanmar,-0.08635248
country,mean_value
South Korea,-9.982126206159592
Slovenia,-47.576579451560974
Russian Federation,-18.152226507663727
Ukraine,-24.33203160762787
Austria,-46.825817227363586
Nepal,-12.324459850788116
Rwanda,-0.9587429463863373
South Africa,-19.13079023361206
Croatia,-37.11398541927338
Turkey,-23.94658774137497
Bolivia,-4.43817600607872
Zambia,-26.49693787097931
Paraguay,-34.49566066265106
Indonesia,-3.5777676850557327
Nigeria,-0.1393257873132825
Canada,-38.444191217422485
Romania,-27.016645669937134
Cambodia,-2.905646897852421
Myanmar,-8.635248243808746
Italy,-47.04677760601044
Serbia,-43.03217530250549
Laos,-0.6297414656728506
Benin,0.0
Bosnia and Herzegovina,-31.74288272857666
Colombia,-14.637558162212372
Moldova,-11.01239025592804
Uruguay,-23.938806354999542
Uganda,-0.3486682893708348
China,-16.270653903484344
Japan,-4.361476749181747
Tanzania,0.0
Hungary,-45.566919445991516
Thailand,-15.652374923229218
North Korea,-2.488516829907894
Argentina,-31.716662645339966
Brazil,-42.73133873939514
Slovakia,-20.09894996881485
Zimbabwe,-6.335760653018951
Vietnam,-10.186479985713959
Mexico,-2.63998843729496
Iran,-39.566320180892944
India,-12.350550293922424
United States,-38.16620111465454
France,-45.10686993598938
Albania,-12.906205654144287
Ecuador,-9.682866930961609
