Area,Item,Element,Unit,Production
Afghanistan,Maize,Production,tonnes,180000.0
Afghanistan,Rice,Production,tonnes,458571.64
Afghanistan,Wheat,Production,tonnes,3900000.0
Albania,Maize,Production,tonnes,414270.8
Albania,Rice,Production,tonnes,0.0
Albania,Wheat,Production,tonnes,225170.9
Algeria,Maize,Production,tonnes,18491.0
Algeria,Rice,Production,tonnes,314.29
Algeria,Wheat,Production,tonnes,2168386.0
Angola,Maize,Production,tonnes,2970208.0
Angola,Rice,Production,tonnes,10514.0
Angola,Wheat,Production,tonnes,2945.7
Antigua and Barbuda,Maize,Production,tonnes,10.68
Argentina,Maize,Production,tonnes,60525805.0
Argentina,Rice,Production,tonnes,1453187.0
Argentina,Wheat,Production,tonnes,17644277.0
Armenia,Maize,Production,tonnes,6000.0
Armenia,Rice,Production,tonnes,0.0
Armenia,Wheat,Production,tonnes,97000.0
Australia,Maize,Production,tonnes,305655.87
Australia,Rice,Production,tonnes,422977.54
Australia,Wheat,Production,tonnes,31922554.7
Austria,Maize,Production,tonnes,2434900.0
Austria,Wheat,Production,tonnes,1547600.0
Azerbaijan,Maize,Production,tonnes,279248.3
Azerbaijan,Rice,Production,tonnes,10062.3
Azerbaijan,Wheat,Production,tonnes,1837188.4
Bahamas,Maize,Production,tonnes,668.49
Bangladesh,Maize,Production,tonnes,4116438.0
Bangladesh,Rice,Production,tonnes,56944553.97
Bangladesh,Wheat,Production,tonnes,1085368.0
Barbados,Maize,Production,tonnes,49.9
Belarus,Maize,Production,tonnes,1148000.0
Belarus,Wheat,Production,tonnes,2441000.0
Belgium,Maize,Production,tonnes,449890.0
Belgium,Rice,Production,tonnes,0.0
Belgium,Wheat,Production,tonnes,1629180.0
Belize,Maize,Production,tonnes,108743.0
Belize,Rice,Production,tonnes,14990.0
Benin,Maize,Production,tonnes,1628148.88
Benin,Rice,Production,tonnes,519666.84
Bhutan,Maize,Production,tonnes,30938.64
Bhutan,Rice,Production,tonnes,40507.9
Bhutan,Wheat,Production,tonnes,1168.94
Bolivia (Plurinational State of),Maize,Production,tonnes,1224719.66
Bolivia (Plurinational State of),Rice,Production,tonnes,550181.52
Bolivia (Plurinational State of),Wheat,Production,tonnes,336222.5
Bosnia and Herzegovina,Maize,Production,tonnes,893124.0
